club,last_name,first_name,position,base_salary,guaranteed_compensation
FC Dallas,Acosta,Kellyn,M,55000.0,79000.0
Vancouver Whitecaps,Adekugbe,Samuel,D,50000.0,55000.0
Portland Timbers,Adi,Fanendo,F,580800.0,593300.0
Colorado Rapids,Agbossoumonde,Gale,D,48825.0,55491.67
FC Dallas,Akindele,Tesho,F,48500.0,48500.0
New England Revolution,Akpan,Andre,F,48500.0,51333.33
Vancouver Whitecaps,Alderson,Bryce,M,100000.0,115000.0
Chicago Fire,Alex,,M,123750.0,133700.0
New York Red Bulls,Alexander,Eric,M,115000.0,128750.0
Portland Timbers,Alhassan,Kalif,M,120000.0,120000.0
Real Salt Lake,Allen,Jordan,M/F,80000.0,90000.0
Seattle Sounders FC,Alonso,Osvaldo,M,400000.0,400000.0
New England Revolution,Alston,Kevin,D,125000.0,143333.33
Colorado Rapids,Alvarez,Carlos,M,73150.0,108150.0
Orlando City SC,Alvarez,Yordany,M,48500.0,56000.0
Chicago Fire,Amarikwa,Quincy,F,60000.0,60000.0
Chicago Fire,Anangono,Juan Luis,F,175000.0,175000.0
Seattle Sounders FC,Anibaba,Jalil,D,119620.0,159620.0
Columbus Crew,Anor,Bernardo,M,48825.0,48825.0
Seattle Sounders FC,Apam,Onyekachi,D,60000.0,60000.0
Toronto FC,Aparicio,Manuel,M,36504.0,36504.0
Houston Dynamo,Arena,Anthony,D,36504.0,36504.0
Colorado Rapids,Armstrong,David,M,36504.0,36504.0
DC United,Arnaud,Davy,M,212500.0,212500.0
Columbus Crew,Arrieta,Jairo,F,135000.0,135000.0
Houston Dynamo,Ashe,Corey,M,165000.0,174750.0
DC United,Attakora,Nana,D,62500.0,65575.52
Real Salt Lake,Attinella,Jeff,GK,48825.0,48825.0
CHV,Avila,Eric,M,115000.0,135000.0
Seattle Sounders FC,Azira,Michael,D,48504.0,51147.54
Columbus Crew,Baiden,Kingsley,M,36504.0,36504.0
Real Salt Lake,Balchan,Rich,D,48500.0,48500.0
Vancouver Whitecaps,Ballouchy,Mehdi,M,65000.0,65000.0
San Jose Earthquakes,Barklage,Brandon,M,65000.0,68415.21
New England Revolution,Barnes,Darrius,D,80000.0,86666.67
Houston Dynamo,Barnes,Giles,M,230000.0,241158.33
CHV,Barrera,Leandro,F,50000.0,50000.0
Seattle Sounders FC,Barrett,Chad,F,80000.0,85000.0
Columbus Crew,Barson,Chad,D,48825.0,48825.0
Houston Dynamo,Beasley,DaMarcus,D,750000.0,779166.67
Real Salt Lake,Beckerman,Kyle,M,350000.0,378750.0
Columbus Crew,Bedell,Adam,F,36504.0,36504.0
Vancouver Whitecaps,Beitashour,Steven,D,170000.0,177166.67
Toronto FC,Bekker,Kyle,M,51150.0,77400.0
Montreal Impact,Beland-Goyette,Louis,M,36504.0,36504.0
Real Salt Lake,Beltran,Anthony,D,186450.0,186450.0
Toronto FC,Bendik,Joe,GK,140000.0,147375.0
New England Revolution,Bengtson,Jerry,F,144000.0,144000.0
FC Dallas,Benitez,Jair,D,97875.0,97875.0
San Jose Earthquakes,Bernardez,Victor,D,100008.0,141608.0
Colorado Rapids,Berner,John,GK,36500.0,36500.0
Montreal Impact,Bernier,Patrice,F-M,165000.0,205000.0
Philadelphia Union,Berry,Austin,D,86994.0,101994.0
Sporting Kansas City,Besler,Matt,D,600000.0,633250.0
Sporting Kansas City,Bieler,Claudio,F,225000.0,225000.0
San Jose Earthquakes,Bingham,David,GK,85910.0,130285.0
DC United,Birnbaum,Steven,D,55000.0,85000.0
Montreal Impact,Bissue,James,F,48500.0,48500.0
New York Red Bulls,Bitolo,Ambroise,D,36500.0,36500.0
Philadelphia Union,Blake,Andre,GK,75000.0,113000.0
Toronto FC,Bloom,Mark,D,48825.0,48825.0
CHV,Bocanegra,Carlos,D,300000.0,333333.33
CHV,Bolanos,Luis,F,48504.0,48504.0
Philadelphia Union,Bone,Corben,M,48825.0,51325.0
Houston Dynamo,Boniek Garcia,Oscar,F,199992.0,258742.0
Real Salt Lake,Borchers,Nat,D,225000.0,236968.75
,Borja,Carlos,D,52313.0,52313.0
CHV,Borja,Felix,F,48504.0,48504.0
DC United,Boswell,Bobby,D,189666.6,189666.6
New York Red Bulls,Bover,Ruben,M,36500.0,36500.0
Seattle Sounders FC,Bowen,Tristan,F,65000.0,70000.0
Toronto FC,Bradley,Michael,M,6000000.0,6500000.0
New York City FC,Brovsky,Jeb,M,115000.0,119000.0
Philadelphia Union,Brown,Brian,F,48504.0,53004.0
Colorado Rapids,Brown,Deshorn,F,75000.0,123000.0
Houston Dynamo,Bruin,Will,F,127500.0,172500.0
Houston Dynamo,Brunner,Eric,D,130000.0,130625.0
Colorado Rapids,Buddle,Edson,F,325000.0,325000.0
New England Revolution,Bunbury,Teal,F,135000.0,233000.0
Colorado Rapids,Burch,Marc,D,85000.0,85000.0
CHV,Burling,Bobby,D,115000.0,122500.0
San Jose Earthquakes,Busch,Jon,GK,173250.0,184583.33
Montreal Impact,Bush,Evan,GK,48825.0,48825.0
New York Red Bulls,Bustamante,Michael,M-D,48825.0,48825.0
FC Dallas,Cabrera,Walter,D,84000.0,96000.0
New York Red Bulls,Cahill,Tim,M,3500000.0,3625000.0
New England Revolution,Caldwell,Scott,M,52313.0,59813.0
Toronto FC,Caldwell,Steven,D,325000.0,364166.67
CHV,Calvert,Caleb,F,55000.0,62500.0
Montreal Impact,Camara,Hassoun,D/M,215000.0,226625.0
Vancouver Whitecaps,Carducci,Marco,GK,36504.0,36504.0
Houston Dynamo,Carrasco,Servando,M,48825.0,48825.0
Philadelphia Union,Carreiro,Fred,M,65460.0,65460.0
Philadelphia Union,Carroll,Brian,M,185220.0,185220.0
Houston Dynamo,Cascio,Tony,M,71390.0,105140.0
Philadelphia Union,Casey,Conor,F,192500.0,192500.0
DC United,Caskey,Alex,M,48825.0,48825.0
New York Red Bulls,Castano,Santiago,GK,36500.0,36500.0
New England Revolution,Castillion,Geoffrey,F,276000.0,329033.33
FC Dallas,Castillo,Fabian,F,70000.0,76250.0
San Jose Earthquakes,Cato,Cordell,F,50400.0,50400.0
Orlando City SC,Ceren,Darwin,M,50000.0,80437.5
Portland Timbers,Chara,Diego,M,170000.0,170000.0
CHV,Chavez,Marvin,M,200000.0,200000.0
New York Red Bulls,Christianson,Ian,M,48825.0,48825.0
Houston Dynamo,Clark,Ricardo,M,288000.0,321750.0
Columbus Crew,Clark,Steven,GK,135000.0,138333.33
Vancouver Whitecaps,Clarke,Caleb,F,60000.0,60000.0
Sporting Kansas City,Claros,Jorge,M,90000.0,90000.0
Houston Dynamo,Cochran,AJ,D,57500.0,73500.0
Chicago Fire,Cochrane,Greg,D,48500.0,48500.0
Chicago Fire,Cocis,Razvan,M,140004.0,146670.67
Sporting Kansas City,Collin,Aurelien,D,275000.0,281250.0
New York Red Bulls,Convey,Bobby,M,137500.0,147500.0
Seattle Sounders FC,Cooper,Kenny,F,200000.0,265625.0
CHV,Correa,Jose Erick,F,70000.0,70000.0
FC Dallas,Craft,Coy,F,48504.0,65587.33
Toronto FC,Creavalle,Warren,D,90000.0,100500.0
Montreal Impact,Crepeau,Maxime,GK,48500.0,48500.0
San Jose Earthquakes,Cronin,Sam,M,185000.0,187500.0
