club,last_name,first_name,position,base_salary,guaranteed_compensation
Philadelphia Union,Aaronson,Brenden,M-F,70000.08,98309.48
Seattle Sounders FC,Abdul-Salaam,Saad,D,70250.04,70250.04
Colorado Rapids,Abubakar,Lalas,D,135000.0,144937.5
Columbus Crew,Accam,David,M-F,1010004.0,1137920.0
Colorado Rapids,Acosta,Kellyn,D-M,549999.96,664999.96
DC United,Acosta,Luciano,M-F,600000.0,702000.0
FC Dallas,Acosta,Bryan,M,600000.0,650000.0
Orlando City SC,Acosta,Danilo,D,110000.04,110000.04
Atlanta United,Adams,"Mohammed ""Mo""",M,99999.96,134999.96
FC Cincinnati,Adi,Fanendo,F,1360008.0,1965008.0
Vancouver Whitecaps,Adnan,Ali,D,1200000.0,1277499.9
San Jose Earthquakes,Affolter,Francois,D,249999.96,281999.96
Columbus Crew,Afful,Harrison,D,288099.96,363799.96
New England Revolution,Agudelo,Juan,F,574999.92,604999.92
San Jose Earthquakes,Akanyirige,Jacob,D,62225.04,64225.04
Orlando City SC,Akindele,Tesho,F,150000.0,150000.0
Toronto FC,Akinola,Ayo,F,56256.0,124256.0
FC Cincinnati,Alashe,Fatai,D-M,189999.96,189999.96
FC Cincinnati,Albadawi,Nazmi,M-F,70250.04,70250.04
LA Galaxy,Alessandrini,Romain,M-F,1610004.0,1940004.0
FC Dallas,Alexander,Eric,M,270000.0,270000.0
Philadelphia Union,Allen,RJ,D,70250.04,70250.04
Real Salt Lake,Allen,Jordan,M-F,237999.96,237999.96
Minnesota United,Alonso,Osvaldo,D-M,650000.04,697500.04
Toronto FC,Altidore,Jozy,F,4891250.04,6332250.04
LA Galaxy,Alvarez,Favio,M-F,525000.0,586250.0
LA Galaxy,Alvarez,Efrain,M-F,70872.0,75605.8
Philadelphia Union,Alves,Fabinho,D,120000.0,120000.0
DC United,Amarikwa,Quincy,F,70250.04,70250.04
FC Cincinnati,Amaya,Frankie,M-F,110000.04,172000.04
Atlanta United,Ambrose,Mikey,D,72351.6,72351.6
FC Dallas,Anane-Gyasi,Edwin,M-F,570000.0,719225.0
Colorado Rapids,Anderson,Sebastian,D,56250.0,80916.67
New England Revolution,Angking,Isaac,M-F,70250.04,75250.04
New England Revolution,Anibaba,Jalil,D,101250.0,101250.0
LA Galaxy,Antuna,Uriel,M-F,420000.0,420000.0
FC Dallas,Aranguiz,Pablo,M-F,406666.68,466666.68
LA Galaxy,Araujo,Julian,D,80000.04,86250.04
New York City FC,Araujo dos Santos,Heber,F,785000.04,788750.04
Vancouver Whitecaps,Ardaiz,Joaquín,F,272727.12,272727.12
LA Galaxy,Arellano,Hugo,D,82500.0,90073.75
Columbus Crew,Argudo,Luis,M-F,57225.0,57225.0
Seattle Sounders FC,Arreaga,Xavier,D,393600.0,500850.0
Real Salt Lake,Arriaga,Luis,M,56250.0,56250.0
DC United,Arriola,Paul,M,675000.0,707000.0
Columbus Crew,Artur,,D-M,360000.0,411633.33
Orlando City SC,Ascues,Carlos,D-M,420000.0,451500.0
Portland Timbers,Asprilla,Dairon,M-F,200000.04,213750.04
Portland Timbers,Attinella,Jeff,GK,174999.96,187249.96
FC Dallas,Atuahene,Francis,M-F,135000.0,179000.0
LAFC,Atuesta,Eduard,D-M,474999.96,492999.96
Toronto FC,Auro,,D,225000.0,276666.67
Chicago Fire,Azira,Micheal,D-M,140000.04,146625.04
FC Dallas,Badji,Dominique,F,200000.04,206250.04
Vancouver Whitecaps,Bair,Thelonius,F,56250.0,76250.0
Real Salt Lake,Baird,Corey,F,70008.0,70008.0
Toronto FC,Bakero,Jon,F,70250.04,70250.04
Vancouver Whitecaps,Baldisimo,Michael,D-M,56250.0,83012.8
Vancouver Whitecaps,Bangoura,"Alhassane ""Lass""",M-F,99999.96,99999.96
Sporting Kansas City,Baráth,Botond,D,250000.08,297333.41
Atlanta United,Barco,Ezequiel,M-F,1425000.0,1425000.0
New York Red Bulls,Barlow,Tom,F,56250.0,56250.0
New York City FC,Barraza,Luis,GK,56250.0,56250.0
FC Dallas,Barrios,Michael,M-F,500000.04,500000.04
Colorado Rapids,Bassett,Cole,M,75000.0,84000.0
LAFC,Batista,Lamar,D,56250.0,56250.0
Montreal Impact,Bayiha,Clement,M-F,61750.08,67125.08
Houston Dynamo,Beasley,DaMarcus,D,275000.04,275000.04
Montreal Impact,Beaulieu,Jason,GK,70250.04,70250.04
Real Salt Lake,Beckerman,Kyle,D-M,300000.0,325000.0
New York City FC,Bedoya,Daniel,M-F,70250.04,70250.04
Philadelphia Union,Bedoya,Alejandro,M,1200000.0,1266250.0
LAFC,Beitashour,Steven,D,275000.04,298375.04
Atlanta United,Bello,George,D,75000.0,79000.0
Real Salt Lake,Beltran,Tony,D,195000.0,207000.0
Philadelphia Union,Bendik,Joe,GK,144000.0,144000.0
Toronto FC,Benezet,Nicolas,M-F,600000.0,600000.0
San Jose Earthquakes,Bersano,Matt,GK,71666.88,71666.88
FC Cincinnati,Bertone,Leonardo,M,450000.0,496666.67
Real Salt Lake,Besler,Nick,M,84999.96,84999.96
Sporting Kansas City,Besler,Matt,D,574997.64,674997.64
New York Red Bulls,Bezecourt,Vincent,M-F,70875.0,73295.62
LA Galaxy,Bingham,David,GK,375000.0,375000.0
Houston Dynamo,Bird,Eric,M,70875.0,70875.0
DC United,Birnbaum,Steven,D,525000.0,550000.0
Houston Dynamo,Bizama,Jose,D,243636.0,292427.18
LAFC,Blackmon,Tristan,D,70250.04,72983.95
Philadelphia Union,Blake,Andre,GK,500004.0,550004.0
Portland Timbers,Blanco,Sebastian,M-F,2740008.0,2853341.33
LAFC,Blessing,Latif,M-F,93750.0,110416.67
Colorado Rapids,Blomberg,Johan,M,250962.0,250962.0
Vancouver Whitecaps,Blondell,Anthony,F,262500.0,307703.25
DC United,Boateng,Emmanuel,M,185000.04,185000.04
FC Cincinnati,Bone,Corben,M,70250.04,70250.04
Toronto FC,Bono,Alex,GK,350000.04,382000.04
Chicago Fire,Bornstein,Jonathan,D-M,240000.0,263200.0
New England Revolution,Bou,Gustavo,F,2100000.0,2100000.0
Minnesota United,Boxall,Michael,D,300000.0,317333.33
Toronto FC,Bradley,Michael,M,6000000.0,6500000.0
Montreal Impact,Brault-Guillard,Zachary,D,72000.0,81000.0
FC Dallas,Bressan,,D,485300.04,521931.29
DC United,Brillant,Frederic,D,264999.96,299999.96
Chicago Fire,Bronico,Brandt,M,84999.96,90624.96
Seattle Sounders FC,Bruin,Will,F,350000.04,358333.37
New England Revolution,Buchanan,Tajon,M-F,90000.0,126000.0
New York Red Bulls,Buckmaster,Rece,D,56250.0,56250.0
New England Revolution,Bunbury,Teal,F,225750.0,270750.0
Philadelphia Union,Burke,Cory,F,75937.56,79720.37
Montreal Impact,Bush,Evan,GK,232000.08,294666.75
Sporting Kansas City,Busio,Gianluca,M-F,90000.0,92500.0
DC United,Bustamante,Antonio,D-M,70250.04,74484.83
Seattle Sounders FC,Bwana,Handwalla,M-F,57225.0,57225.0
New England Revolution,Bye,Brandon,D,59950.08,63244.93
Houston Dynamo,Cabezas,Juan,D-M,268008.0,292008.0
Montreal Impact,Cabrera,Victor,D,150000.0,172328.33
Columbus Crew,Cadden,Chris,M,56250.0,56250.0
New England Revolution,Caicedo,Luis,D-M,300000.0,300000.0
New England Revolution,Caicedo,Juan Fernando,F,500000.04,500000.04
New England Revolution,Caldwell,Scott,M,142312.56,153208.56
New York City FC,Caldwell,Jeff,GK,57225.0,57225.0
New York City FC,Callens,Alexander,D,600000.0,664000.0
San Jose Earthquakes,Calvillo,Eric,M,120000.0,136500.0
Chicago Fire,Calvo,Francisco,D,600000.0,672600.0
Montreal Impact,Camacho,Rudy,D,700000.08,749152.58
Seattle Sounders FC,Campbell,Jonathan,D,70250.04,70250.04
Chicago Fire,Campos,Diego,D,70250.04,72825.04
FC Dallas,Cannon,Reggie,D,80250.0,80250.0
DC United,Canouse,Russell,M,247500.0,247500.0
Atlanta United,Carleton,Andrew,M-F,84999.96,97399.96
Inter Miami,Carranza,Julian,F,70250.04,70250.04
LA Galaxy,Carrasco,Servando,M,70250.04,70250.04
Portland Timbers,Cascante,Julio,D,170004.0,170004.0
New York Red Bulls,Casseres,Cristian,M,79999.92,118749.92
New York City FC,Castellanos,Valentin,M-F,249999.96,274806.41
New England Revolution,Castillo,Edgar,D,249999.96,249999.96
Seattle Sounders FC,Cecchini,Emanuel,M,648000.0,789000.0
Houston Dynamo,Ceren,Darwin,D-M,300000.0,349375.0
FC Dallas,Cerrillo,Edwin,D-M,70250.04,100250.04
Minnesota United,Chacon,Thomas,M,324999.96,336999.96
New York City FC,Chanot,Maxime,D,650000.04,650000.04
Toronto FC,Chapman,Jay,M,120000.0,138500.0
Portland Timbers,Chara,Diego,M,550000.08,568750.08
Vancouver Whitecaps,Chirinos,Michaell,M,360000.0,396875.0
Montreal Impact,Choiniere,Mathieu,M,80000.04,86390.04
Toronto FC,Ciman,Laurent,D,399999.96,435624.96
Columbus Crew,Clark,Ricardo,M,159999.96,159999.96
Portland Timbers,Clark,Steve,GK,140000.04,140000.04
Chicago Fire,Cleveland,Stefan,GK,70250.04,70250.04
Chicago Fire,Collier,Elliot,M-F,57225.0,57225.0
Philadelphia Union,Collin,Aurelien,D,175000.08,175000.08
FC Dallas,Colman,Cristian,F,500000.04,585000.04
Orlando City SC,Colman,Josue,M-F,450000.0,450000.0
Vancouver Whitecaps,Colyn,Simon,M-F,56250.0,81250.0
Portland Timbers,Conechny,Tomas,M-F,396000.0,396000.0
Vancouver Whitecaps,Cornelius,Derek,D,99999.96,111912.46
LA Galaxy,Corona,Joe,M,549999.96,578499.96
Montreal Impact,Corrales,Jorge,D,70875.0,70875.0
San Jose Earthquakes,Cowell,Cade,F,57225.0,67225.0
Philadelphia Union,Creavalle,Warren,D-M,162000.0,175300.0
Vancouver Whitecaps,Crepeau,Maxime,GK,90000.0,94083.33
Columbus Crew,Crognale,Alex,D,104504.4,104504.4
Major League Soccer,Cronin,Sam,M,330000.0,396990.33
New England Revolution,Cropper,Cody,GK,77519.52,77519.52
